File Name,Size,Average Chi Score,Number of Attributes,Fraction of Numeric attributes,Average Class Types,Classes target,target
congressional_voting_dataset,435,0.966666666666667,16,0,3,2,1
tic-tac-toe-data,958,0.666666666666667,9,0,3,2,2
chess_king_rook_dataset,28056,0.533333333333333,6,0,6.66666666666667,18,2
bach_choral_set_dataset,5665,0.945054945054945,15,0.066666666666667,3.21428571428571,102,1
credit_screening,690,0.709090909090909,15,0.266666666666667,51.4545454545455,2,1
balance_scale_dataset,625,0,4,0,5,3,1
adult,32561,1,14,0.428571428571429,12.75,2,4
zoo,101,0.516666666666667,16,0,2.25,7,3
horse_colic_dataset,368,0.801470588235294,26,0.346153846153846,4.52941176470588,4,4
bank-full,45211,0.972222222222222,16,0.4375,4.88888888888889,2,1
monk_dataset,1711,0,7,0,2.85714285714286,2,4
student-mat,395,0.253694581280788,32,0.09375,3.55172413793103,18,4
german_credit,1000,0.551470588235294,20,0.15,4,2,1
cmc_data,1473,0.857142857142857,9,0.222222222222222,3.14285714285714,3,2
mushroom_dataset,8416,0.909090909090909,22,0,5.31818181818182,2,4
contraceptive_method_dataset,1473,0.857142857142857,9,0.222222222222222,3.14285714285714,3,2
balloons_dataset,100,0,4,0,2,2,1
car,1728,0,6,0,3.5,4,4
soccer_international_history_dataset,38685,1,7,0.285714285714286,528.8,3,4
mammogram_dataset,961,1,5,0.2,6,2,2
