File Name,Size,Average Correlation,Average Chi Score,Normalised Outliers,Fraction of Numeric attributes,Average Class Types,Classes target,target
wine,178,0.373627994316572,0,0.00561797752809,1,0,3,1
spam,4601,0.083958791335518,0,0.14533797000652,1,0,2,2
tic-tac-toe-data,958,0,43.2756034297214,0,0,2,2,2
diabetic_retinopathy,1151,0.35367793468525,0,0.044743701129453,1,0,2,1
graduation_rate,777,0.308799661507369,0,0.030704173561317,1,0,3,1
seeds,210,0.611530755391444,0,0.003401360544218,1,0,3,1
credit_screening,690,0.188432747735983,127.04733857382,0.098550724637681,0.666666666666667,2,2,1
iris,150,0.589815720615102,0,0.006666666666667,1,0,3,4
forest_type_mapping,198,0.527224739210071,0,0.050505050505051,1,0,4,1
breast-cancer-wisconsin,699,0.600620759599733,0,0.052614846606263,1,0,2,1
glass,214,0.227698429382372,0,0.071131879543095,1,0,6,2
adult,32561,0.067115973485572,0,0.086459261079205,0.833333333333333,0,2,1
zoo,101,0,26.2507830728349,0,0,2.4,7,3
processed_cleveland_heart_disease,303,0.184923064782212,30.7096429739441,0.015181518151815,0.5,3.6,5,2
ecoli,336,0.294456514226478,7.68052742422855,0.013095238095238,0.714285714285714,2,8,1
nba,1340,0.626918612106439,0,0.030597014925373,1,0,2,1
Indianv,583,0.17806615431459,0,0.086906803887936,1,0,2,1
bank-full,45211,0.043421882990799,0,0.051000862621928,0.833333333333333,0,2,1
mnist,3147,0.428208309591978,0,0.018875119161106,1,0,3,2
student-mat,395,0.304965890313514,18.7363279243391,0.023628691983122,0.5,5,18,3
CNAE9,1079,0,30.4511123693885,0,0,2.8,9,1
german_credit,1000,0.231278996328509,16.7249507236349,0.055,0.5,2.66666666666667,2,3
cmc_data,1473,0.540125890118988,124.664175432437,0.015274949083503,0.222222222222222,3.14285714285714,3,1
glaucoma,196,0.499154254639769,0,0.019387755102041,1,0,2,4
diabetes_old_people,2818,0.244509599010295,0,0.005475007604177,0.875,0,4,3
diamond_cut,599,0.139285408647144,0,0.016138007790762,0.75,0,4,4
sonar-all-data,208,0.307686400522687,0,0.03125,1,0,2,2
ionosphere,351,0.266299771443438,0,0.064893953782843,0.9,0,2,4
winequality-white,4898,0.188513163258882,0,0.017823601469988,1,0,7,1
avila,10430,0.180531098891599,0,0.085944391179291,1,0,12,4
transfusion_data,748,0.465998261830853,0,0.032419786096257,1,0,2,1
car,1728,0,36.0091379815386,0,0,2,4,4
