File Name,Size,Average Correlation,Normalised Outliers,Fraction of Numeric attributes,target
wine,178,0.304957481350349,0.009075194468453,1,1
spam,4601,0.060853842705062,0.117087437132279,1,1
diabetic_retinopathy,1151,0.306565893821421,0.062608601216334,0.842105263157895,1
graduation_rate,777,0.303603246388441,0.046653796653797,0.941176470588235,1
seeds,210,0.611530755391444,0.003401360544218,1,1
iris,150,0.589815720615102,0.006666666666667,1,2
forest_type_mapping,198,0.283936200214059,0.048821548821549,1,1
breast-cancer-wisconsin,699,0.492325449189654,0.050643776824034,1,2
glass,214,0.23254427525314,0.064018691588785,1,2
ecoli,336,0.294456514226478,0.013095238095238,0.625,2
nba,1340,0.441515014339311,0.037038491751768,0.95,1
Indianv,583,0.207734219789555,0.07451877263198,0.9,1
mnist,3147,0.129726920970511,0.060854505176056,0.628826530612245,2
glaucoma,196,0.4244415720406,0.027978933508888,1,1
diabetes_old_people,2818,0.244509599010295,0.005475007604177,0.875,3
diamond_cut,599,0.139285408647144,0.016138007790762,0.75,4
sonar-all-data,208,0.2293956642548,0.026041666666667,1,3
ionosphere,351,0.238265557307753,0.068108974358974,0.941176470588235,3
winequality-white,4898,0.178266246729611,0.01980400163332,1,1
avila,10430,0.180531098891601,0.085944391179291,1,4
transfusion_data,748,0.465998261830854,0.032419786096257,1,1
