File Name,Size,Average Correlation,Average Chi Score,Normalised Outliers,Fraction of Numeric attributes,Average Class Types,Classes target,target
wine,178,0.304957481350349,0,0.009075194468453,1,0,3,1
spam,4601,0.060853842705062,0,0.117087437132279,1,0,2,1
tic-tac-toe-data,958,0,24.468410116454,0,0,3,2,2
diabetic_retinopathy,1151,0.306565893821421,0.554568149178275,0.062608601216334,0.842105263157895,2,2,1
graduation_rate,777,0.303603246388441,0,0.046653796653797,0.941176470588235,0,3,1
seeds,210,0.611530755391444,0,0.003401360544218,1,0,3,1
credit_screening,690,0.188432747735983,1684.90479699687,0.098550724637681,0.266666666666667,51.4545454545455,2,1
iris,150,0.589815720615102,0,0.006666666666667,1,0,3,2
forest_type_mapping,198,0.283936200214059,0,0.048821548821549,1,0,4,1
breast-cancer-wisconsin,699,0.601652223586454,0,0.052614846606263,1,0,2,2
glass,214,0.227698429382372,0,0.071131879543095,1,0,6,2
adult,32561,0.060332024528096,6526.49788072821,0.079706806711506,0.428571428571429,12.75,2,4
zoo,101,0,13.9739773719229,0,0,2.25,7,3
ecoli,336,0.294456514226478,7.68052742422855,0.013095238095238,0.714285714285714,2,8,2
nba,1340,0.441515014339311,0,0.037038491751768,1,0,2,1
Indianv,583,0.207734219789555,0,0.07451877263198,0.9,0,2,1
bank-full,45211,0.057295195847621,2835.38880078532,0.088565677758573,0.4375,4.88888888888889,2,1
student-mat,395,0.304965890313513,13.5561805368286,0.023628691983122,0.09375,3.55172413793103,18,4
german_credit,1000,0.23127899632851,37.2957376167857,0.055,0.15,4,2,1
cmc_data,1473,0.540125890118989,124.664175432437,0.015274949083503,0.222222222222222,3.14285714285714,3,2
glaucoma,196,0.4244415720406,0,0.027978933508888,1,0,2,1
diabetes_old_people,2818,0.244509599010295,0,0.005475007604177,0.875,0,4,3
diamond_cut,599,0.139285408647144,0,0.016138007790762,0.75,0,4,4
sonar-all-data,208,0.2293956642548,0,0.026041666666667,1,0,2,3
ionosphere,351,0.238265557307753,0,0.068108974358974,0.941176470588235,1.5,2,3
winequality-white,4898,0.178266246729611,0,0.01980400163332,1,0,7,1
avila,10430,0.180531098891601,0,0.085944391179291,1,0,12,4
transfusion_data,748,0.465998261830854,0,0.032419786096257,1,0,2,1
car,1728,0,0,0,0,3.5,4,4
