File Name,Size,Average Correlation,Normalised Outliers,Fraction of Numeric attributes,Classes in Target,target
wine,178,0.304957481350349,0.009075194468453,1,3,1
spam,4601,0.060853842705062,0.117087437132279,1,2,1
tic-tac-toe-data,958,0,0,0,2,2
diabetic_retinopathy,1151,0.306565893821421,0.062608601216334,0.842105263157895,2,1
graduation_rate,777,0.303603246388441,0.046653796653797,0.941176470588235,3,1
seeds,210,0.611530755391444,0.003401360544218,1,3,1
credit_screening,690,0.188432747735983,0.098550724637681,0.266666666666667,2,1
iris,150,0.589815720615102,0.006666666666667,1,3,2
forest_type_mapping,198,0.283936200214059,0.048821548821549,1,4,1
breast-cancer-wisconsin,699,0.492325449189654,0.050643776824034,1,2,2
glass,214,0.23254427525314,0.064018691588785,1,6,2
adult,32561,0.060332024528096,0.079706806711506,0.428571428571429,2,4
zoo,101,0,0,0,7,3
processed_cleveland_heart_disease,303,0.184923064782212,0.013201320132013,0.384615384615385,5,1
ecoli,336,0.294456514226478,0.013095238095238,0.625,8,2
nba,1340,0.441515014339311,0.037038491751768,0.95,2,1
Indianv,583,0.207734219789555,0.07451877263198,0.9,2,1
bank-full,45211,0.057295195847621,0.088565677758573,0.4375,2,1
mnist,3147,0.129726920970511,0.060854505176056,0.628826530612245,3,2
student-mat,395,0.304965890313513,0.023628691983122,0.09375,18,4
CNAE9,1079,0,0,0,9,1
german_credit,1000,0.23127899632851,0.055,0.15,2,1
cmc_data,1473,0.540125890118989,0.015274949083503,0.222222222222222,3,2
glaucoma,196,0.4244415720406,0.027978933508888,1,2,1
diabetes_old_people,2818,0.244509599010295,0.005475007604177,0.875,4,3
diamond_cut,599,0.139285408647144,0.016138007790762,0.75,4,4
sonar-all-data,208,0.2293956642548,0.026041666666667,1,2,3
ionosphere,351,0.238265557307753,0.068108974358974,0.941176470588235,2,3
winequality-white,4898,0.178266246729611,0.01980400163332,1,7,1
avila,10430,0.180531098891601,0.085944391179291,1,12,4
transfusion_data,748,0.465998261830854,0.032419786096257,1,2,1
car,1728,0,0,0,4,4
